asset_type,symbol,status,rows_added,yahoo_symbol,error
Stock,ADSK,up_to_date,0,ADSK,
Stock,CACI,up_to_date,0,CACI,
Stock,CC,up_to_date,0,CC,
Stock,CDNS,up_to_date,0,CDNS,
Stock,COO,up_to_date,0,COO,
Stock,COST,up_to_date,0,COST,
Stock,CVX,up_to_date,0,CVX,
Stock,DG,up_to_date,0,DG,
Stock,DRI,up_to_date,0,DRI,
Stock,DT,up_to_date,0,DT,
Stock,EA,up_to_date,0,EA,
Stock,EME,up_to_date,0,EME,
Stock,EQT,up_to_date,0,EQT,
Stock,GTLS,up_to_date,0,GTLS,
Stock,ITW,up_to_date,0,ITW,
Stock,LHX,up_to_date,0,LHX,
Stock,LNC,up_to_date,0,LNC,
Stock,LNT,up_to_date,0,LNT,
Stock,MCD,up_to_date,0,MCD,
Stock,MCK,up_to_date,0,MCK,
Stock,MDLZ,up_to_date,0,MDLZ,
Stock,NOC,up_to_date,0,NOC,
Stock,NVST,up_to_date,0,NVST,
Stock,PANW,up_to_date,0,PANW,
Stock,PAYX,up_to_date,0,PAYX,
Stock,POOL,up_to_date,0,POOL,
Stock,PPG,up_to_date,0,PPG,
Stock,PRU,up_to_date,0,PRU,
Stock,RGEN,up_to_date,0,RGEN,
Stock,RH,up_to_date,0,RH,
Stock,SJM,up_to_date,0,SJM,
Stock,STLD,up_to_date,0,STLD,
Stock,TDG,up_to_date,0,TDG,
Stock,TOL,up_to_date,0,TOL,
Stock,TRGP,up_to_date,0,TRGP,
Stock,UPS,up_to_date,0,UPS,
Stock,USFD,up_to_date,0,USFD,
Stock,WAB,up_to_date,0,WAB,
Stock,WU,up_to_date,0,WU,
Stock,WWD,up_to_date,0,WWD,
Stock,XPO,up_to_date,0,XPO,
ETF,IWM,up_to_date,0,IWM,
ETF,IYR,up_to_date,0,IYR,
ETF,SCHD,up_to_date,0,SCHD,
ETF,VTI,up_to_date,0,VTI,
